,device,workload,metric,predictor,r2,max_error,mae,mape,medae,dataset_min,dataset_max,dataset_mean,dataset_median,dataset_size
cuda_980ti-avg_pool2d-power-ert:375,cuda_980ti,avg_pool2d,power,ert,0.8041983369251191,200.49674857142875,4.647037571884982,0.03012924117277917,2.8681599999996763,99.784,201.978,160.895792,152.5795,375
cuda_980ti-avg_pool2d-power-ert:750,cuda_980ti,avg_pool2d,power,ert,0.8324513739211165,204.42562857142948,4.243366149399048,0.027437612553873395,2.3725000000002012,65.936,204.491,160.534506,152.5795,750
cuda_980ti-avg_pool2d-power-ert:1125,cuda_980ti,avg_pool2d,power,ert,0.8483250924063986,204.40780000000086,4.003746508443648,0.026065828646039638,2.192671428571259,65.936,206.736,161.50552577777776,152.5795,1125
cuda_980ti-avg_pool2d-power-ert:1500,cuda_980ti,avg_pool2d,power,ert,0.8762916409832422,206.29553142857188,3.5804665723414013,0.023261542471278953,1.8935228571431821,65.936,207.30149999999998,161.06341066666664,152.5795,1500
cuda_980ti-avg_pool2d-power-ert:1875,cuda_980ti,avg_pool2d,power,ert,0.8820589288287931,204.76808571428583,3.4718843024494386,0.02253019785139949,1.8783800000005044,65.936,207.30149999999998,160.91724773333334,152.5795,1875
cuda_980ti-avg_pool2d-power-ert:2250,cuda_980ti,avg_pool2d,power,ert,0.9037500879222153,203.78959714285756,3.178487892895204,0.020514895536883914,1.7354171428571306,65.936,207.30149999999998,160.89324577777776,152.5795,2250
cuda_980ti-avg_pool2d-power-ert:2625,cuda_980ti,avg_pool2d,power,ert,0.9123195852662946,203.84942285714334,2.9661804624981185,0.019115193690177293,1.6434257142858826,65.936,207.30149999999998,160.95687352380952,152.5795,2625
cuda_980ti-avg_pool2d-power-ert:3000,cuda_980ti,avg_pool2d,power,ert,0.9099673933960288,204.62751428571437,2.872978773771502,0.018557370009528878,1.5602114285716766,65.936,207.30149999999998,160.92137233333332,152.5795,3000
cuda_980ti-avg_pool2d-power-ert:3375,cuda_980ti,avg_pool2d,power,ert,0.916454850018743,204.60455428571436,2.8036896242203078,0.018121515528623094,1.4317142857144347,65.936,207.30149999999998,160.71273777777776,152.5795,3375
cuda_980ti-avg_pool2d-power-ert:3750,cuda_980ti,avg_pool2d,power,ert,0.9289800884845231,204.54569714285725,2.631452806937491,0.016925307456278862,1.4263714285715707,65.936,207.30149999999998,160.80174746666665,152.5795,3750
cuda_980ti-avg_pool2d-memory-ert:375,cuda_980ti,avg_pool2d,memory,ert,0.8582738276760478,3.3295950753348214,0.23684268266012476,0.37963806574403236,0.1373228236607143,0.09747314453125,3.95184326171875,1.1026612955729167,0.51092529296875,375
